repo,dependency_file,affected_test_file,bypass_method,commit_hash,commit_date,commit_author,commit_message,total_commits_to_file,description
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),47fea804d611e88340a65e2860cfdff2db223095,2025-12-09T23:44:57+01:00,Joris Van den Bossche,DOC: update description for deprecated copy keyword in docstrings (CoW is now in effect) (#63297),3324,DataFrame pickle tested in subprocess
pandas,pandas/__init__.py,pandas/tests/test_downstream.py,subprocess (-OO flag),499c5d4dd52a8645bf96c39bad60613097e84c06,2025-12-08T13:39:15-05:00,Richard Shadrach,"Revert ""ENH: Add tzdata to hard dependencies"" (#63290)",189,Import behavior tested in optimized subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),25934d6755dda44f192e4893106316bc4dce5382,2025-12-08T04:02:29-05:00,Richard Shadrach,DOC: Copy edit 3.0 whatsnew (#63284),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),c3e13ba7ff44d546c065c7ac8ea285c9474550b2,2025-12-04T18:16:22+01:00,Yi-Fan Wang,ENH: use stable sort in value_counts (#63158),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),7f91ec4edba8db1c2b808b6206372294918f79aa,2025-12-02T11:03:25-05:00,Lirong,CLN: Add allow_slice to is_hashable function (#62567),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),945385d09c5c0ca9ba09336ff7727dbe3349697e,2025-12-01T14:42:59-08:00,jbrockmendel,API: microsecond resolution for Timedelta strings (#63196),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),a885d6796501923905b9381ecafde07ada57a914,2025-11-27T01:52:27+01:00,Joris Van den Bossche,PDEP-8 inplace: return self for inplace=True in methods that will keep the keyword (#63195),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),56b2089055739263a803ec6d96134bdb705e392f,2025-11-26T16:48:41+01:00,Joris Van den Bossche,Implement chained assignment detection with is_local_in_caller_frame approach for py3.14 compat (reverting cython SetitemMixin class) (#63186),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),08c0b78ffd1fb93ef23b128350c6f92144bd589a,2025-11-26T13:38:52+01:00,Joris Van den Bossche,ENH: add basic DataFrame.from_arrow class method for importing through Arrow PyCapsule interface (#59696),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),11a5e3b10a8d707622dcfcb9bb9b0431e61aafae,2025-11-25T15:33:56-03:00,Álvaro Kothe,PERF: compute kurtosis for ExtensionArray using groupby method (#63172),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),8eff6a8e1f4f11f00b0bd464486fdf6c6434caf1,2025-11-25T13:37:24-05:00,Richard Shadrach,CLN: Use set_module decorator (#63164),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),a505423613f473e058e1b30b5816cd3f99731e4d,2025-11-12T22:55:41+01:00,Joris Van den Bossche,Move chained assignment detection to cython for Python 3.14 compat (#62070),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),f4851e500a43125d505db64e548af0355227714b,2025-11-08T12:40:33-08:00,Matthew Roeschke,DOC: Remove ..versionadded directives before 2.0 (#63035),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),f4851e500a43125d505db64e548af0355227714b,2025-11-08T12:40:33-08:00,Matthew Roeschke,DOC: Remove ..versionadded directives before 2.0 (#63035),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),9b82f9635de6d4765e1c25904e6d268c793d905a,2025-11-07T11:43:03-08:00,jbrockmendel,DEPR: verify_integrity in DataFrame.set_index (#63033),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),ebbd16c271835845e5a66785625a4b88086d908d,2025-11-06T19:08:44Z,Marco Edward Gorelli,DOC: Correct return type for `DataFrame.hist` (#63011),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),52972f42f9a7d53e24295a2007897d6b93fec0d1,2025-11-06T17:13:08Z,Patrick Hoefler,DOC: Add versionadded markers for anti joins (#62962),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),844e1e171460b6cfb2c510b8489c95e02709eadc,2025-11-06T09:01:57-08:00,Matthew Roeschke,DOC: Add filesystem keyword arg and documentation to DataFrame.to_parquet (#62924),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),50d8d1eb4440b0819dde5ae15cbd5bef9c8bf2d4,2025-11-05T10:31:51-08:00,Richard Shadrach,DEPR/BUG: Do not ignore sort in concat for DatetimeIndex (#62843),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),f0d73591e28882178cad0af098a3f62d962094cc,2025-11-04T15:03:52-05:00,Richard Shadrach,BUG: Fix sorting behavior of DataFrame.join on list arguments (#62954),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),893c7842338aa1b35d5864e2dc5e6431c92dc184,2025-11-04T13:52:25-08:00,Matthew Roeschke,DOC: Remove ..versionchanged less than version 2.0 (#62939),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),893c7842338aa1b35d5864e2dc5e6431c92dc184,2025-11-04T13:52:25-08:00,Matthew Roeschke,DOC: Remove ..versionchanged less than version 2.0 (#62939),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),09a83d7e1a6d6e2221872702db2aaf5a075600e4,2025-11-04T07:56:25-08:00,Matthew Roeschke,CLN: Use RangeIndex placeholder for Manager.reduce (#62972),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),865ae1dc1e4fa986ba654f72ab347b612516d353,2025-11-03T17:05:43Z,Marco Edward Gorelli,DEPR: Deprecate DataFrame Interchange Protocol (#62920),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),77fdffd507f26b7032f99097a384394a89f656d3,2025-11-02T20:44:52+08:00,justmhie,DOC: Clarify groupby axis operations (#62853),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),8226043690dd937c16363b4a619215e099e2bb00,2025-10-31T13:26:49-07:00,jbrockmendel,"BUG: DataFrame.combine_first, combine with non-unique columns (#62941)",3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),98b70f030783094dc63abf4da1591a40a4d9db7c,2025-10-31T09:53:17-07:00,jbrockmendel,"DOC: docstring fixups, remove inaccurate line in DataFrame.combine docstring (#62933)",3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),a6684592dfae263cb540ff558427e5f29744fdc7,2025-10-27T13:42:35-07:00,jbrockmendel,Warn on no-op rounding for datetimelike dtypes (#62844),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),ea75dd7b3bf9b29837afc2bc0693b728382b80ef,2025-10-25T10:53:55-07:00,Goutham Anand,Added example for pandas.DataFrame.to_html #44945 (#62828),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),dd00e0fc27afe87682f5ec71675e2b9d1d4e2934,2025-10-24T17:03:46-04:00,Angela Liss,BUG: Fix precision loss in DataFrame.combine_first (#62814),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),d81171b32eb813615ad8c5849c2f350237d4a577,2025-10-22T09:38:07+02:00,Joris Van den Bossche,DOC: set __module__ on remaining top-level functions (#62758),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),2bb3fef887d65b98bac36d045d85a6dafca6c5c6,2025-10-19T23:17:40+02:00,Joris Van den Bossche,DOC: add reference to select_dtypes section in string migration guide (#62759),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),e11bf72296ed77c7de3183277f04f6693d19cb54,2025-10-19T15:05:59-04:00,Richard Shadrach,DOC: Set __module__ attributes and remove `core` from documentation (#62727),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),15ca85bc593adb08bfd931eb115bb67b57ca9fa6,2025-10-19T13:10:39-07:00,jbrockmendel,DEPR: back-compat shim for select_dtypes (#62718),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),cdebe0eb166ff48db734bb958b45f7d15665e464,2025-10-13T09:45:42-07:00,Navya Srivastava,Replace @Appender with inline docstring for DataFrame.groupby (#62667),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),30cfee8daa20ef5060a78adbce6498303a20c890,2025-10-07T00:30:35+08:00,Kevin Amparado,DOC: inline docstring for pandas.plotting functions (#62584),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),7b82470cd3082542423dd53e29bde416e79d4cd5,2025-10-06T21:55:23+05:30,G Karthik Koundinya,DOC: Replace @Appender with inline docstring for DataFrame.items (#62600),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),54b8f292690150f941ebe13d6f928942225e2c26,2025-10-04T17:21:10+01:00,Vishal Shivam,Zip Strict for pandas/core level files #62469 (#62577),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),72ba35b0fdabe4b5cf9f3905ad5076de8d8db759,2025-10-02T12:34:51-04:00,matiaslindgren,Increase edge case check strictness when cols_droplevel contains empty values (#62527),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),d18f9a20ff58e39cca70ede022c8fd4981a31d5f,2025-09-29T17:47:03+01:00,Vishal Shivam,Zip Strict for pandas/plotting #62469 (#62478),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),98c9c7f838d223e66f1459fab23ac178b29c2227,2025-09-24T19:17:42+02:00,Yi-Fan Wang,"DOC: DataFrame.from_records accepts an Iterable of data in the implementation, which is not specified in the docs (#62430)",3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),0f9647e3539b578c82bb5aa6f5d2ec9d7b6d6a54,2025-09-24T13:00:00-04:00,matiaslindgren,Avoid reindexing values assigned to a multi-index when cols_droplevel contains empty values  (#62404),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),88affc381efd2ca67c7705c647c3f81b6ef09c83,2025-09-22T22:18:43+02:00,Joris Van den Bossche,BUG: limit select_dtypes(object) back compat fix to default str dtype (#62402),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),2b25842701346c18d307751ea36ade71caaf3792,2025-09-21T15:38:20+02:00,Joris Van den Bossche,String dtype: keep select_dtypes(include=object) selecting string columns (#62323),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),e87248e1a5d6d78a138039f2856a3aec6b9fef54,2025-09-19T07:40:40-04:00,Irv Lustig,API: Adding pandas.api.typing.aliases and docs (#61735),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),e209a35403f8835bbcff97636b83d2fc39b51e68,2025-09-17T08:19:13+02:00,Joris Van den Bossche,CoW: disable chained assignment detection for Python 3.14 (#62324),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),6ad23cfc471c78060d46a2f03344675c598ff01a,2025-09-16T14:43:59-07:00,jbrockmendel,REF: simplify _append_internal (#62351),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),bc500f7b440b486540c1159b9159c009c9210010,2025-09-16T10:53:22-07:00,jbrockmendel,BUG: adding row to DataFrame with EADtype index loses dtype (#62345),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),2f2664433f6ae18fc2013a0c1e86fe562cd74c3b,2025-09-11T17:13:19+01:00,Marco Edward Gorelli,"DEPR: Deprecate passing positional arguments in {DataFrame,Series}.groupby (except `by` and `level`) (#62102)",3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),4088ec2b5e554e849cfdd571d16511c3a335e845,2025-08-27T12:40:07-04:00,Richard Shadrach,CLN: Enforce deprecation of DataFrame.idxmin/max with EAs and axis=1 (#62201),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),594889e3f015cd3f124aebf62c56928d582b1b3e,2025-08-25T14:09:21-04:00,Richard Shadrach,CLN: Replace warnings with Pandas4Warning (#62162),3324,DataFrame pickle tested in subprocess
pandas,pandas/__init__.py,pandas/tests/test_downstream.py,subprocess (-OO flag),188b2dae7df85a9c9945db39c5a23d23b1d4ce2e,2025-08-22T17:50:55+01:00,Marco Edward Gorelli,ENH: Introduce `pandas.col` (#62103),189,Import behavior tested in optimized subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),188b2dae7df85a9c9945db39c5a23d23b1d4ce2e,2025-08-22T17:50:55+01:00,Marco Edward Gorelli,ENH: Introduce `pandas.col` (#62103),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),728be93ecc1e20bf44e8513e0e2f5c0c722c3749,2025-08-22T02:05:56+05:30,Vineet Kumar,ENH: Rename DataFrame._append to _append_internal (#62137),3324,DataFrame pickle tested in subprocess
pandas,pandas/plotting/_core.py,pandas/tests/plotting/test_backend.py,entry_points (plugin loading),4f286ca6f78fab9d5166ee907a2aa8e68451cc32,2025-08-21T09:12:18-07:00,jbrockmendel,REF: avoid inferred_type checks in plotting (#62160),240,Plotting backend loaded via entry points
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),9597c0397962b228f00805e0750b91d0e5272ce9,2025-08-12T19:10:09-04:00,Richard Shadrach,ENH: Implement PDEP-17 (#61468),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),0366ddb19714464130e6fff12cdb0318af51d6d5,2025-08-11T23:53:44+03:00,Xiao Yuan,BUG: Preserve column names in DataFrame.from_records when nrows=0 (#62085),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),7863029c3084c79b226c0a1c3daeac82929534f1,2025-08-08T12:54:59-07:00,Matthew Roeschke,DEPS: Drop Python 3.10 (#62066),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),8e44c0e6bc1f8e0c01e947b90bce993e7c74b50a,2025-08-01T08:31:04-07:00,Niruta Talwekar,DOC: Improve documentation for DataFrame.__setitem__ and .loc assignment from Series (#61804),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),94d9d2e95bb00ab0a4174c30d483eedc438042f1,2025-07-28T17:11:24+01:00,Marc Jones,DOC: Update documentation for using natural sort with `sort_values` (#61979),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),6537afe3701f832a0d29e1598a05c471d789f172,2025-07-17T16:59:03+02:00,Joris Van den Bossche,DOC: fix doctests for string dtype changes (top-level) (#61887),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),7c2796d134e74f613cbfd85137d6809f5abf39a4,2025-07-07T11:09:15-07:00,pre-commit-ci[bot],[pre-commit.ci] pre-commit autoupdate (#61802),3324,DataFrame pickle tested in subprocess
pandas,pandas/tests/io/data/legacy_pickle/1.5.3/1.5.3_x86_64_linux_3.11.9.pickle,pandas/tests/io/test_pickle.py,pickle (C deserialization),e5a1c102237947450871433c1d7ebd0bb607cd64,2025-07-07T03:41:22-04:00,David Krych,BUG: Fix unpickling of string dtypes of legacy pandas versions (#61770),1,Legacy pickle file for compatibility testing
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),9dcce6330f22f48e51fc3f8301d23b6c3e784f6a,2025-07-03T19:02:50+02:00,Marc Garcia,ENH: Allow third-party packages to register IO engines (#61642),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),391107a9545b10ead39b1857636ab7630dea8575,2025-07-03T10:07:38-07:00,jbrockmendel,"Revert ""ENH: Allow third-party packages to register IO engines"" (#61767)",3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),b8371f5e6f329bfe1b5f1e099e221c8219fc6bbd,2025-06-09T22:18:25+04:00,Marc Garcia,ENH: Implement to_iceberg (#61507),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),1ccdfe63a91562c9f5cfb818ed7e816d4503b64a,2025-05-27T17:59:46+02:00,cmp0xff,DOC: use Hashable instead of label (#61500),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),cfe54bd5da48095f4c599a58a1ce8ccc0906b668,2025-05-23T13:25:25-04:00,Florian Bourgey,Bug cov nat (#60898),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),fe60f43cd38944a46388acd21458e619c48cf85f,2025-05-20T23:40:31+02:00,cmp0xff,DOC: Fix pivot_table and index.name descriptions (#61455),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),6879598d495904f3c0a4723bb140296348c49fbd,2025-05-20T00:00:40+08:00,Kevin Amparado,DOC: change `pandas.DataFrame.unstack`'s `fill_value` param to scalar (#61459),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),09a17c7b59767e42f529b4ab21a229f866aa4a67,2025-05-19T22:35:31-04:00,Loic Diridollou,CLN: Expose arguments in DataFrame.query (#61413),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),ae8ea3e017481a47ab2635b6fe18572b280e3824,2025-05-19T08:54:49-07:00,Abhinav,BUG: Fix DataFrame constructor misclassification of array-like with 'name' attribute (#61443) (#61451),3324,DataFrame pickle tested in subprocess
pandas,pandas/__init__.py,pandas/tests/test_downstream.py,subprocess (-OO flag),e637b4290d22e71afc1455bc1b691582f0a3ec78,2025-05-14T22:29:29+02:00,Marc Garcia,ENH: Implement pandas.read_iceberg (#61383),189,Import behavior tested in optimized subprocess
pandas,pandas/__init__.py,pandas/tests/test_downstream.py,subprocess (-OO flag),09de147f67452cfe97d3a90d224ae3b7c198bebe,2025-04-23T00:04:22+08:00,ChiLin Chiu,ENH: Add tzdata to hard dependencies (#61308),189,Import behavior tested in optimized subprocess
pandas,pandas/__init__.py,pandas/tests/test_downstream.py,subprocess (-OO flag),f8d629600674ac5b53fa2aca01b8a949afa83d00,2025-04-15T00:39:18+08:00,ChiLin Chiu,BUG: Improve ImportError message to suggest importing dependencies directly for full error details (#61084),189,Import behavior tested in optimized subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),04356be7d385dcb99d3040e37a85e1030afb259b,2025-04-03T14:59:26-04:00,Florian Bourgey,Fix binary operations on attrs for Series and DataFrame (#59636),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),7e4d30697d1d905b27141255c537537edf9f634a,2025-04-02T16:28:16-05:00,Ian Thompson,DOC: Add details of dropna in DataFrame.pivot_table (#61184),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),8943c97c597677ae989d47e612705f088aab4cd0,2025-03-14T22:03:10+07:00,Marc Garcia,ENH: Allow JIT compilation with an internal API (#61032),3324,DataFrame pickle tested in subprocess
pandas,pandas/core/frame.py,pandas/tests/test_downstream.py,subprocess (pickle test),12d1dda92273042bdc853b52e26eee9ac9f1ebbe,2025-03-07T02:20:39+10:00,PenguinPen,DOC: Add inference type information to Dataframe Apply (#61065),3324,DataFrame pickle tested in subprocess
